11:29:08.233 [main] INFO  net.lomibao.nes.components.CPU6502 - 16,10,BPL,Relative,Branch if Positive,2,2,REL
11:29:08.233 [main] INFO  net.lomibao.nes.components.CPU6502 - 17,11,ORA,(Indirect);Y,Logical Inclusive OR,2,5,IZY
11:29:08.233 [main] INFO  net.lomibao.nes.components.CPU6502 - 18,12,???,???,???,1,2,IMP
11:29:08.234 [main] INFO  net.lomibao.nes.components.CPU6502 - 19,13,???,???,???,1,8,IMP
11:29:08.234 [main] INFO  net.lomibao.nes.components.CPU6502 - 20,14,???,???,???,1,4,IMP
11:29:08.234 [main] INFO  net.lomibao.nes.components.CPU6502 - 21,15,ORA,ZeroPage;X,Logical Inclusive OR,2,4,ZPX
11:29:08.234 [main] INFO  net.lomibao.nes.components.CPU6502 - 22,16,ASL,ZeroPage;X,Arithmetic Shift Left,2,6,ZPX
11:29:08.234 [main] INFO  net.lomibao.nes.components.CPU6502 - 23,17,???,???,???,1,6,IMP
11:29:08.235 [main] INFO  net.lomibao.nes.components.CPU6502 - 24,18,CLC,Implied,Clear Carry Flag,1,2,IMP
11:29:08.235 [main] INFO  net.lomibao.nes.components.CPU6502 - 25,19,ORA,Absolute;Y,Logical Inclusive OR,3,4,ABY
11:29:08.236 [main] INFO  net.lomibao.nes.components.CPU6502 - 26,1A,???,???,???,1,2,IMP
11:29:08.236 [main] INFO  net.lomibao.nes.components.CPU6502 - 27,1B,???,???,???,1,7,IMP
11:29:08.236 [main] INFO  net.lomibao.nes.components.CPU6502 - 28,1C,???,???,???,1,4,IMP
11:29:08.236 [main] INFO  net.lomibao.nes.components.CPU6502 - 29,1D,ORA,Absolute;X,Logical Inclusive OR,3,4,ABX
11:29:08.237 [main] INFO  net.lomibao.nes.components.CPU6502 - 30,1E,ASL,Absolute;X,Arithmetic Shift Left,3,7,ABX
11:29:08.237 [main] INFO  net.lomibao.nes.components.CPU6502 - 31,1F,???,???,???,1,7,IMP
11:29:08.237 [main] INFO  net.lomibao.nes.components.CPU6502 - 32,20,JSR,Absolute,Jump to Subroutine,3,6,ABS
11:29:08.237 [main] INFO  net.lomibao.nes.components.CPU6502 - 33,21,AND,(Indirect;X),Logical AND,2,6,IZX
11:29:08.238 [main] INFO  net.lomibao.nes.components.CPU6502 - 34,22,???,???,???,1,2,IMP
11:29:08.238 [main] INFO  net.lomibao.nes.components.CPU6502 - 35,23,???,???,???,1,8,IMP
11:29:08.238 [main] INFO  net.lomibao.nes.components.CPU6502 - 36,24,BIT,ZeroPage,Bit Test,2,3,ZP0
11:29:08.238 [main] INFO  net.lomibao.nes.components.CPU6502 - 37,25,AND,ZeroPage,Logical AND,2,3,ZP0
